SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
,,SOX15,CD19,CCNDBP1
,,ZFR,PIK3C2G,OXSM
,,WDFY2,IL18,DIAPH1
,,CDC42BPB,TAS2R4,TPGS1
,,MED16,SMYD1,LRRFIP2
,,NCL,GNAT3,DNASE2
,,FOXK1,ITIH5,CARD16
,,NAA10,APOBEC4,CAMSAP2
,,PTCH2,TAS1R1,ZNF267
,,ADAMTS5,CDA,MAP3K11
,,ABL2,INMT,FAM53A
,,CACNA1I,IGSF23,ZNF354B
,,COX11,NRK,PPWD1
,,ADCK1,LPAR4,ATL2
,,ZBTB11,AIF1,VAT1
,,GPKOW,PDC,PSMB6
,,ULK3,CD86,RTN4
,,MRGPRE,CALR3,GEMIN5
,,CLCN6,PLEKHS1,CTTN
,,UQCRFS1,C1QTNF5,RPL3
,,ZNF280D,MARCO,TPD52L2
,,HNRNPA1,CORIN,PDIA3
,,ZMAT5,TMEM252,NDUFA4
,,DAZAP1,CLDN14,POTEE
,,MATN1,C9,PRDX3
,,RBM10,MSTN,IFT88
,,HARS,OR2T33,SFR1
,,TMEM201,LMAN1L,NUDT18
,,SIMC1,PLEKHG7,NPTN
,,FADS6,KIAA1210,GSS
,,UTP18,GLRA2,RAP2C
,,NONO,HPSE2,PIP5K1A
,,RNF8,HKDC1,TIAL1
,,MYOG,DSG1,NSMAF
,,MORC2,AADACL2,HMGXB3
,,TIPIN,SLC39A2,SWI5
,,NASP,LRIT3,MASTL
,,TDP1,P2RY10,GORASP1
,,C1QL2,CNTN6,UROD
,,PTCD3,AGTR1,FAT4
,,DENND2C,ANXA8,LDB1
,,RCOR1,ANKRD30B,RNF130
,,PIWIL2,BNC1,KANK3
,,ZNF326,GCKR,RIPK1
,,ZNF546,FGD5,TUBGCP2
,,SSRP1,GJA3,ZC3HC1
,,MRO,ACY3,ALDH18A1
,,TTLL2,VGLL2,PORCN
,,SBF1,UBASH3A,IL10RB
,,IGF1,ANKS4B,VAMP7
,,MRI1,ORM1,ARHGDIB
,,DDB1,ADH1B,CCDC71
,,COPE,MMRN1,ITSN1
,,TUBB,TULP1,DALRD3
,,DUS3L,HEPH,MAP2K3
,,UBQLN4,AKR1C4,NFU1
,,PSMD8,CD163,GATA3
,,THAP11,TNFRSF4,DHX37
,,AHCYL1,KCNS1,POMGNT1
,,CSDE1,A1CF,PGGT1B
,,ZNF142,EVI2A,CCT7
,,POLDIP3,KRT2,GNS
,,TERF2,CSH2,STAT3
,,RBM33,ITGA8,NDUFS2
,,IZUMO1,PLA1A,TIMM23B
,,NOX5,KLHL30,FOXJ2
,,GPR20,LDB2,HSF2BP
,,CNIH4,GABRA4,PRICKLE4
,,PRPF19,TRIM10,MOB1A
,,AQP6,ASPA,LRRC23
,,NDUFS6,SHROOM4,CDC23
,,HNRNPC,MRGPRF,MBOAT7
,,EMILIN1,IGLL5,ERCC2
,,MPV17,FPR2,NAP1L1
,,DAD1,BIN2,CHP1
,,BTBD2,HAS1,AMDHD2
,,GALNT15,CCDC168,MRPS22
,,SRSF11,CASQ2,SDHB
,,ZSWIM1,LGALS2,TDO2
,,GGT5,NUGGC,MRPL40
,,TREX2,CLEC17A,MCM10
,,FCN2,LILRB1,TMEM42
,,OLFML3,DMRTB1,TCOF1
,,PRLHR,GDF7,ATXN7
,,KLF1,HLA-DQB2,LAMP2
,,CDC20B,APOB,EBNA1BP2
,,SNAP29,KRT34,COMMD4
,,OR1F1,FPR1,YIPF5
,,TACR2,PRG4,GATA2
,,LSM4,HTR1F,AVEN
,,COX16,IL23R,FTCDNL1
,,ACTC1,C8A,CLN5
,,SLC24A4,LY9,ASMTL
,,STAR,CD3E,RPP38
,,PHYHD1,NR1H4,AZI2
,,GPR61,CLRN3,CREM
,,HAPLN2,CCR1,TICRR
,,CES5A,ADH1A,RNF149
,,NACA2,OR10Q1,HYAL3
,,P2RX1,IL36RN,SSPN
,,SLC5A8,,INTU
,,SYNDIG1L,,PIGK
,,SAFB,,BMPR1A
,,PABPN1L,,DSTYK
,,ACIN1,,TM6SF2
,,NAA11,,ZDHHC16
,,RGR,,RHOG
,,TBX4,,SCAMP3
,,SFTPC,,PDF
,,RBMX,,TXNDC17
,,SMIM5,,TYK2
,,ADRA1A,,RNF216
,,GPR142,,SLC1A3
,,GNAT2,,DENND5A
,,MLNR,,TAMM41
,,NTN5,,PCGF6
,,SUGP1,,ABL2
,,NKX2-8,,LDHD
,,LPAR5,,LGMN
,,SLC6A1,,NUP37
,,GLP2R,,AUP1
,,RHCG,,STARD8
,,TMEM88B,,EIF4E2
,,GBX1,,SNX6
,,AQP12B,,POLR2M
,,RFPL1,,NACA
,,FAM186B,,PI4KB
,,NOD2,,GPR135
,,SFRP4,,SUOX
,,AGBL1,,PURA
,,UGT3A1,,CA2
,,ANKRD63,,PPID
,,FAM106A,,SRA1
,,ADAMTS4,,TMEM168
,,IL12RB1,,ILK
,,GRIN2A,,AAK1
,,STH,,GALT
,,HK3,,WDR18
,,TESPA1,,ACBD5
,,TTC16,,RAB1A
,,MYADML2,,MKI67
,,DNAJB7,,NSA2
,,COL15A1,,RBM42
,,PGA5,,FLOT1
,,VSX2,,SLC4A1AP
,,CPO,,TRPM7
,,HRNR,,NMNAT1
,,KRT2,,MYO9A
,,CREB3L3,,CSTB
,,TAGAP,,DPP9
,,SERPINA10,,CCDC12
,,FOXN1,,MAPKBP1
,,TSPY2,,LCN2
,,BHLHE23,,CLIC3
,,ANKRD2,,STX10
,,HTR1E,,KCTD7
,,SEL1L2,,MOGS
,,VWC2,,ARHGAP12
,,ACTL7B,,MSTO1
,,SCN2B,,HLA-DOB
,,ASPG,,VPS13D
,,ACAN,,SLC25A35
,,PRDM7,,ZNF563
,,GRIN2B,,OGFR
,,TMEM235,,ANKAR
,,KRT33B,,COMMD1
,,SPATA31E1,,GOLGA1
,,ANKRD30B,,MGAT4B
,,ANKRD34C,,MYO1F
,,DMRTB1,,CALCOCO2
,,LRRC52,,SNRPG
,,LRRC38,,CC2D1B
,,EVI2B,,SOWAHC
,,G6PC2,,DERL2
,,ZNF469,,FAHD2A
,,FGF23,,CHCHD4
,,MAS1,,SCAMP2
,,ASPN,,REP15
,,KRT72,,SAT2
,,APLNR,,ABCF3
,,LCE5A,,NELFCD
,,CD84,,WHAMM
,,TINAG,,CSGALNACT1
,,LACTBL1,,RPL27
,,SLAMF6,,RFXANK
,,MYH8,,MOB1B
,,HMHB1,,PTPN9
,,KCNG4,,WDR92
,,SPZ1,,QRICH1
,,HSD11B1,,OXA1L
,,BANF2,,DUSP11
,,CIDEA,,DHODH
,,,,ARID5A
,,,,ZBTB2
,,,,EIF2S2
,,,,PDK2
,,,,PRKD2
,,,,TXNDC9
,,,,CTBP2
,,,,HDAC3
,,,,ELMOD3
,,,,HLA-DRB1
,,,,CDC20
,,,,PUS1
,,,,MAPK6
,,,,HPS6
,,,,TRIM45
,,,,SLC39A7
,,,,ZBTB7A
,,,,TRAM1
,,,,PRR11
,,,,HSPA4
,,,,PITRM1
,,,,DLC1
,,,,SRP19
,,,,LRSAM1
,,,,KCMF1
,,,,ZWILCH
,,,,METTL6
,,,,MECR
,,,,BUB3
,,,,STXBP3
,,,,PMS2
,,,,FAM151B
,,,,EIF4G1
,,,,MAD1L1
,,,,STT3A
,,,,HMCN1
,,,,UFSP2
,,,,ZDHHC3
,,,,ITGB1BP1
,,,,NRBP2
,,,,SLC9A1
,,,,ADAT2
,,,,RNF26
,,,,FKBP5
,,,,ERMARD
,,,,TMED1
,,,,RAB27A
,,,,TRIM25
,,,,PGLS
,,,,SLC30A7
,,,,ATAD3A
,,,,IFI44L
,,,,MAPK9
,,,,MRPL43
,,,,CNIH4
,,,,HSP90AB1
,,,,HMMR
,,,,PSMD1
,,,,RAB8A
,,,,FBXO44
,,,,RAD51B
,,,,DCTD
,,,,EIF2S3
,,,,PSCA
,,,,LRRC37A3
,,,,NAT10
,,,,HIF1AN
,,,,PTRH2
,,,,CSTA
,,,,GPR137
,,,,GTF2H2C
,,,,PSMB4
,,,,NUP93
,,,,RIC8A
,,,,SLC25A3
,,,,BABAM1
,,,,MAGT1
,,,,HMG20A
,,,,LTV1
,,,,NUP88
,,,,ATRAID
,,,,AURKA
,,,,RELA
,,,,UQCRFS1
,,,,CLTC
,,,,PLCD4
,,,,RPS23
,,,,LENG8
,,,,EXOC6B
,,,,ZDHHC8
,,,,CSAD
,,,,FBXL17
,,,,URB1
,,,,RAD50
,,,,CREB3L2
,,,,ENTPD7
,,,,CARM1
,,,,SMNDC1
,,,,CTNNB1
,,,,PDCD5
,,,,GOLGA2
,,,,TRIM8
,,,,B3GALNT2
,,,,TBX2
,,,,M6PR
,,,,ZC3HAV1
,,,,ARHGAP11A
,,,,GLI3
,,,,ATP6V1C1
,,,,STX16
,,,,RTN4IP1
,,,,CCHCR1
,,,,EIF4A1
,,,,CMTM1
,,,,DNAJC25
,,,,CCNB2
,,,,CASC4
,,,,SSB
,,,,FAM53C
,,,,SMTN
,,,,GSTCD
,,,,PLEKHB2
,,,,SLC38A7
,,,,ZBTB17
,,,,USP40
,,,,ALDH4A1
,,,,GOLGA4
,,,,DNAJB4
,,,,KLRK1
,,,,DDX47
,,,,PTCD1
,,,,PRRC1
,,,,IL13RA2
,,,,SS18
,,,,SNAPC2
,,,,TSPAN17
,,,,PSMA7
,,,,TXNDC15
,,,,PGM1
,,,,HARS
,,,,ZNF341
,,,,RPL22
,,,,GAK
,,,,TRDMT1
,,,,FNDC1
,,,,NACC1
,,,,TP53BP1
,,,,OSBPL9
,,,,IARS
,,,,EIF2B4
,,,,AGFG1
,,,,GADD45GIP1
,,,,CSK
,,,,RBM22
,,,,TAF12
,,,,PDCL3
,,,,BTBD1
,,,,FAM83D
,,,,BLOC1S3
,,,,CRTC2
,,,,DYNLL1
,,,,ANO10
,,,,AP2B1
,,,,PPP6R2
,,,,CAPN15
,,,,ALKBH8
,,,,ERCC1
,,,,KCTD9
,,,,TPRKB
,,,,RBM5
,,,,PSMD4
,,,,HSPA5
,,,,PHB
,,,,SLC26A1
,,,,STARD5
,,,,SFXN1
,,,,PSME2
,,,,RUSC2
,,,,GLT8D1
,,,,CCL5
,,,,TM9SF4
,,,,WBP4
,,,,GRPEL1
,,,,ANKRD16
,,,,FLYWCH1
,,,,PRKCSH
,,,,COG7
,,,,NANS
,,,,NECAP2
,,,,ZFC3H1
,,,,ZCCHC10
,,,,ODF2
,,,,P4HB
,,,,DAP3
,,,,RPS12
,,,,NKTR
,,,,NBPF20
,,,,POFUT1
,,,,COX20
,,,,GCNT4
,,,,HIST1H3H
,,,,ZNF771
,,,,SPTAN1
,,,,HS1BP3
,,,,PMM2
,,,,ATP1B3
,,,,BCKDK
,,,,LRRC28
,,,,TIGD6
,,,,ZNF365
,,,,USB1
,,,,NUDCD2
,,,,LAPTM4A
,,,,SNX2
,,,,HADHA
,,,,TAX1BP1
,,,,SYPL2
,,,,ZNF438
,,,,PSMA1
,,,,GANC
,,,,AP2M1
,,,,AKT1S1
,,,,TATDN1
,,,,MSRB2
,,,,BECN1
,,,,CCDC18
,,,,NUDT6
,,,,CAPZB
,,,,PRRC2A
,,,,SVEP1
,,,,APP
,,,,DDX56
,,,,LARS
,,,,PSMA2
,,,,ZC3HAV1L
,,,,TWISTNB
,,,,WDR26
,,,,ITSN2
,,,,ESYT1
,,,,TAF8
,,,,SSBP1
,,,,TFG
,,,,TRNT1
,,,,LYPLA2
,,,,ODF3B
,,,,MTOR
,,,,TAF9
,,,,CRYZL1
,,,,COX19
,,,,THUMPD3
,,,,ATG2A
,,,,KIF5B
,,,,PARK7
,,,,NOC3L
,,,,TARS
,,,,BBS12
,,,,UIMC1
,,,,SLC9A8
,,,,PSPH
,,,,RDX
,,,,NT5C2
,,,,GGCX
,,,,EIF3I
,,,,TFPI
,,,,PDGFRB
,,,,BZW1
,,,,FDXACB1
,,,,BRAT1
,,,,MED15
,,,,CTSK
,,,,POC1A
,,,,UTP3
,,,,SRGAP2
,,,,PKM
,,,,MVB12A
,,,,TMEM160
,,,,GUCD1
,,,,CCT5
,,,,EIF3G
,,,,MOCS3
,,,,VPS33B
,,,,PCGF1
,,,,TSC1
,,,,SLC9A5
,,,,TSSK4
,,,,WDR4
,,,,ZFYVE16
,,,,MESP2
,,,,DMBX1
,,,,EIF4G3
,,,,TMED7
,,,,ZNF789
,,,,MAP2K5
,,,,MMP3
,,,,SAA1
,,,,WDR73
,,,,ING2
,,,,ECD
,,,,TMEM92
,,,,GPAM
,,,,KIF20B
,,,,CUTC
,,,,GPX4
,,,,ARHGAP11B
,,,,YJEFN3
,,,,HRCT1
,,,,STAM2
,,,,MYH3
,,,,TMEM87A
,,,,PLXNB2
,,,,DBN1
,,,,MFN2
,,,,PLEKHM2
,,,,FGFR1OP2
,,,,SMC6
,,,,MYL6
,,,,SEC24B
,,,,CSGALNACT2
,,,,TPT1
,,,,MANF
,,,,PEX14
,,,,FAP
,,,,KIF15
,,,,RAC1
,,,,CLPTM1
,,,,DHX30
,,,,AP4E1
,,,,FCN3
,,,,CEBPA
,,,,CACUL1
,,,,DNAJC8
,,,,MRPL16
,,,,TFB2M
,,,,CLEC2B
,,,,GMPPB
,,,,CYGB
,,,,EIF5B
,,,,RINT1
,,,,KDM3B
,,,,DCAF8
,,,,VDAC2
,,,,STUB1
,,,,BRD8
,,,,TPST2
,,,,TANGO2
,,,,PSMD9
,,,,AREG
,,,,FCRLB
,,,,PUS10
,,,,LLPH
,,,,POLR1E
,,,,EIF4E
,,,,RRP15
,,,,EIF5AL1
,,,,GRIN3B
,,,,MYO9B
,,,,RAB5C
,,,,CCDC92
,,,,ZDHHC7
,,,,UBE2V1
,,,,ATXN2
,,,,HLA-DRA
,,,,TPR
,,,,ZNF575
,,,,SNX13
,,,,MCM3AP
,,,,MTHFS
,,,,NR1H2
,,,,NT5DC1
,,,,TBK1
,,,,STK36
,,,,VPS18
,,,,GNL3
,,,,PPP4C
,,,,ORC5
,,,,MRPL27
,,,,CHIC1
,,,,RAB23
,,,,THOC7
,,,,WNT2B
,,,,CDC37
,,,,TTC7A
,,,,NSRP1
,,,,UBP1
,,,,LSM5
,,,,RPS6KB1
,,,,CACNG8
,,,,ASXL1
,,,,MRPL53
,,,,MTG1
,,,,MIIP
,,,,RBL1
,,,,INTS3
,,,,MTFMT
,,,,SAP30BP
,,,,CDC42BPB
,,,,CDK11B
,,,,INO80
,,,,CCNL2
,,,,PRDX5
,,,,DNAJC11
,,,,TNPO3
,,,,USP4
,,,,POLR2A
,,,,VANGL1
,,,,POP4
,,,,METAP2
,,,,RNF4
,,,,ZCWPW2
,,,,CDCA3
,,,,MFAP1
,,,,DDX21
,,,,PRDM6
,,,,IL20RB
,,,,NRBF2
,,,,ISCU
,,,,ADAMTSL3
,,,,ATG16L1
,,,,HERPUD2
,,,,SYT12
,,,,GHITM
,,,,IL7
,,,,CIC
,,,,CDC25C
,,,,BICD2
,,,,TLR3
,,,,ENY2
,,,,RNF111
,,,,SRGN
,,,,STX7
,,,,DNAH10
,,,,DOCK7
,,,,PNISR
,,,,METTL1
,,,,SAMD8
,,,,STARD3
,,,,GGA3
,,,,ANXA8
,,,,CCDC142
,,,,RPN2
,,,,KLHL20
,,,,MLF2
,,,,BUB1B
,,,,CFB
,,,,CSPP1
,,,,FKTN
,,,,CENPO
,,,,CRTC3
,,,,PIGG
,,,,MMADHC
,,,,C1D
,,,,UBE2L3
,,,,TMEM63B
,,,,HEXIM2
,,,,UPK3B
,,,,SMARCAL1
,,,,PEX10
,,,,ADAM8
,,,,ZGPAT
,,,,NDUFAF7
,,,,POSTN
,,,,C5AR1
,,,,PTPN23
,,,,SEC16A
,,,,RAB40A
,,,,LETM1
,,,,FBXL18
,,,,MED7
,,,,DIO2
,,,,TACC3
,,,,CHSY3
,,,,ANKRD13C
,,,,CDC26
,,,,TRMT112
,,,,OIP5
,,,,PRKDC
,,,,D2HGDH
,,,,ARF4
,,,,TELO2
,,,,GDPGP1
,,,,NPLOC4
,,,,DBF4B
,,,,TBC1D5
,,,,IL18
,,,,UQCRB
,,,,IWS1
,,,,SOD1
,,,,CFL1
,,,,DHDDS
,,,,WDR77
,,,,ITCH
,,,,AFF4
,,,,CCNA2
,,,,COPB1
,,,,USP34
,,,,MFF
,,,,TNXB
,,,,TCERG1
,,,,ZNF628
,,,,FNIP1
,,,,TXNDC12
,,,,TOR1B
,,,,JOSD1
,,,,RAB10
,,,,CEP164
,,,,NCKAP1
,,,,POLQ
,,,,SUFU
,,,,TMEM219
,,,,DNAJB14
,,,,ZNF579
,,,,ATG12
,,,,GOLGA6L4
,,,,DAGLB
,,,,ACIN1
,,,,ENTPD5
,,,,UBR2
,,,,CAPZA2
,,,,DDX20
,,,,TRAIP
,,,,PICALM
,,,,CSNK1D
,,,,RPP14
,,,,UBA3
,,,,DAPK3
,,,,NDUFA12
,,,,FXYD1
,,,,MCIDAS
,,,,DPM1
,,,,CLTA
,,,,SSH1
,,,,MMP25
,,,,SYT15
,,,,GJD3
,,,,PTPRCAP
,,,,ZFYVE26
,,,,NR4A3
,,,,PODNL1
,,,,ZNF621
,,,,BLOC1S2
,,,,ZNF839
,,,,KCTD21
,,,,EMC3
,,,,ITGB2
,,,,RNF123
,,,,TECPR2
,,,,FBXO24
,,,,LRRC39
,,,,HSP90B1
,,,,LTB4R2
,,,,CCDC66
,,,,ZNF169
,,,,PLA2G4B
,,,,SPG21
,,,,AQR
,,,,GCC1
,,,,TULP3
,,,,ADD1
,,,,SLC35A4
,,,,ZCRB1
,,,,TUBD1
,,,,PMM1
,,,,CALML6
,,,,CERS2
,,,,MAPKAP1
,,,,HTT
,,,,MAEA
,,,,ESPL1
,,,,UBE2G1
,,,,ARPC3
,,,,BUB1
,,,,DCUN1D4
,,,,TMPPE
,,,,MFSD8
,,,,NPFF
,,,,CP
,,,,VCP
,,,,ATRIP
,,,,LARS2
,,,,PSMD13
,,,,SLC16A5
,,,,AIDA
,,,,GTF2E2
,,,,TUBG2
,,,,GPKOW
,,,,LTA4H
,,,,TMEM14C
,,,,MYPN
,,,,PRPF38B
,,,,SAMD9L
,,,,OAS2
,,,,PTPRQ
,,,,R3HCC1L
,,,,VPS13B
,,,,UBE2J1
,,,,G3BP1
,,,,DUSP12
,,,,AKAP8
,,,,KYNU
,,,,DDX54
,,,,BAG6
,,,,OLR1
,,,,ELL
,,,,CASP10
,,,,ZBTB32
,,,,SPTLC1
,,,,CCZ1
,,,,SPCS1
,,,,ZNF335
,,,,STRN
,,,,SHBG
,,,,AMIGO3
,,,,CSF2RA
,,,,KLK8
,,,,SKP1
,,,,SETX
,,,,PRKRIP1
,,,,UGP2
,,,,JPH2
,,,,ALPK2
,,,,IVD
,,,,SRRT
,,,,ANPEP
,,,,DHX57
,,,,SMU1
,,,,TMEM52B
,,,,TRIM22
,,,,CSDE1
,,,,SUGP1
,,,,EBLN2
,,,,RASSF9
,,,,FAM9C
,,,,BIRC6
,,,,HELQ
,,,,MMP28
,,,,GCG
,,,,KRT14
,,,,HNRNPM
,,,,FCER1G
,,,,PSG4
,,,,ALOXE3
,,,,ANKRD61
,,,,IL6
,,,,TMEM131
,,,,SAA2
,,,,LTB
,,,,TRMT44
,,,,PDAP1
,,,,GSG1
,,,,SOCS5
,,,,MMP1
,,,,GNAT2
,,,,CCL26
,,,,SNX1
,,,,BNC1
,,,,SBSN
,,,,MSLN
,,,,FGF22
,,,,VEGFC
,,,,ZNF843
,,,,IFNE
,,,,CYP4F11
,,,,GPR87
,,,,ADRB2
,,,,MMP7
,,,,SIGLEC10
,,,,LHB
,,,,CXCL10
,,,,CT45A2
,,,,SPDYA
,,,,SERPINB7
,,,,TMPRSS9
,,,,ANXA8L1
,,,,RFTN2
,,,,CTCFL
,,,,SYNPO2
,,,,KRT4
,,,,ART3
,,,,PADI3
,,,,SCARF1
,,,,AZU1
,,,,HSD17B3
,,,,TM4SF18
,,,,HRNR
,,,,ADRA1D
,,,,UCN2
,,,,CLDN16
,,,,NACA2
,,,,KCNA7
,,,,CCL20
,,,,KRT23
,,,,PADI1
,,,,GDF6
,,,,HLA-DRB5
,,,,CACNG6
,,,,XAF1
,,,,TRIML2
,,,,CPZ
,,,,FGG
,,,,BRINP3
,,,,CHI3L1
,,,,CACNG7
,,,,KLK5
,,,,PTPN7
,,,,COL5A3
,,,,FOXC2
,,,,SLC6A12
,,,,KLK7
,,,,HKDC1
,,,,INSL3
,,,,FGB
,,,,SAGE1
,,,,IGSF23
,,,,NKG7
,,,,PSORS1C2
,,,,PSG5
,,,,ABCD2
,,,,RSPO1
,,,,NR2E1
,,,,TRABD2B
,,,,CUBN
,,,,RSPO3
,,,,ABI3
,,,,EDNRA
,,,,VCAM1
,,,,TXNDC2
,,,,PSG9
,,,,LDLRAD2
,,,,IL1RN
,,,,PDCD1LG2
,,,,TEK
,,,,GSDMC
,,,,TMC1
,,,,NCCRP1
,,,,PKD1L1
,,,,EVI2A
,,,,PSG1
,,,,CYP4F22
,,,,NXF3
,,,,WNT3A
,,,,COL8A1
,,,,DPPA2
,,,,HPD
,,,,GIP
,,,,KRTAP2-3
,,,,MPP4
,,,,IL7R
,,,,FBXW10
,,,,F2RL2
,,,,ZNF469
,,,,ROBO4
,,,,CCDC42
,,,,C3AR1
,,,,SPANXA1
,,,,VGLL2
,,,,VSTM1
,,,,PLK5
,,,,ANKRD2
,,,,CH25H
,,,,ELANE
,,,,MMP19
,,,,TNFAIP6
,,,,BIN2
,,,,HIPK4
,,,,GPR17
,,,,B4GALNT2
,,,,ORM1
,,,,FGA
,,,,KCTD4
,,,,CCDC63
,,,,TM4SF4
,,,,SPINK6
,,,,TCTEX1D4
,,,,HAS2
,,,,EVI2B
,,,,SELE
,,,,ROS1
,,,,IL31RA
,,,,SEMG1
,,,,CLECL1
,,,,FDCSP