Luminal_hillock,Basal_hillock
S100g,Mboat1
Krt13,Actn4
Serpinb2,Baiap2l2
Krt4,Mcl1
Ecm1,Tmsb4x
Ly6g6c,Tiparp
Upk3bl,2610307P16Rik
Mal,Phldb2
Areg,Aebp2
Plac8,Procr
Ltf,Ezr
Anxa1,Arpc2
Calml3,Itgb1
Lgals3,Hspb1
Hopx,Sh3pxd2a
Cldn3,Mat2a
Aqp5,Barx2
Crip1,Pdk1
Krt7,Klf5
Ptgs2,Kif21a
S100a6,Gm15987
Upk1b,Cav2
Krt6a,Pbx1
Psca,Zzef1
Gsto1,Msn
Clca3b,Clip4
Nupr1,Dapl1
Muc4,Pabpc1
S100a10,Wnt4
Pglyrp1,Arid5b
Lmo7,Lamc2
Cldn4,Tanc2
Selenbp1,Gpd2
Ceacam1,Edn1
Ly6d,Lrrfip2
Pdzk1ip1,Eppk1
Krt8,Capg
Ly6a,Trib1
Krt23,Plaur
Igfbp5,Abl2
Adh7,Ly6d
Alox15,Fxyd3
Krt19,Trim29
Edn1,Rnd3
Cyp2a5,Esyt2
Anxa2,Actg1
Pmm1,Dnajb1
Tppp3,Itgb4
Gabrp,Fam110c
Scel,Clasp2
Muc16,Myo1e
Cldn23,Ets2
Krt15,S100a4
Cxcl17,S100a14
Gprc5a,Tjp2
Tacstd2,Ahnak2
S100a14,Krt75
St3gal4,Piezo1
Anxa3,Klf6
Cwh43,Adrb2
Cdc42ep3,Tango6
Gsta4,Acer3
Ndufa4,Ccnd2
Kctd14,Lrrfip1
Pdlim1,2610035D17Rik
Ttc36,Ppp1r14b
Sftpd,Ccdc3
Foxq1,Alcam
2200002D01Rik,Atp2b1
Gm9573,Ahr
Bmp6,Hbegf
Ffar4,Jup
Lyz2,Klf4
Cldn7,Tspan5
Rab11fip1,Cldn4
Porcn,Tspo
Muc1,Tnfaip8
Cyp2b10,Anxa8
F5,Rbms1
Wfdc2,Krt19
Pde4d,Strn3
Ces1d,Sertad2
Slc16a11,Dsg3
Serpinb1a,Plec
Igfbp3,Robo2
Tspo,Cdkn1a
Pls3,Ext1
Mboat1,Gtf2h2
Ces1f,Crip2
Akr1c18,Foxq1
Cav1,4930523C07Rik
Phlda1,Vsnl1
Capg,Pls3
Ppl,Tmtc2
Mgst3,Dusp6
Alox12e,Mgst3
Lrrc26,Dpyd
Alas1,Ppp1r1c
Dhrs9,Ptprz1
AA986860,Bmp6
Ly6e,Ocln
Socs2,Hspa1b
Aldh1a1,Fat1
Ezr,Lmna
Calcb,Ahnak
Flnb,Cavin1
Atp2b1,Large1
Clic1,Rtn4
Ahnak,Sh3d19
Il18r1,Anxa2
Ikzf2,Ptpn13
Atp10b,Igf1r
Pmp22,Pdlim1
Myh14,Dst
Crip2,Dsc2
1500015L24Rik,Tpm1
Nebl,Itga6
Ctsh,Col17a1
Atrnl1,Sh3rf1
Cd44,Mcu
Esd,Rab11fip1
Klf2,Porcn
Wdr72,Ppp3ca
Emp2,Lgals7
B4galt5,F5
Taldo1,Tagln2
Tspan8,Emp1
Rab25,Lmo7
Tspan1,Cast
Qsox1,Perp
Clic3,Mal
Iffo2,Clca3b
Ebp,Cdh13
Trp53inp2,Ptgs2
Map1lc3a,Cd109
Fabp5,Nrg1
Gcnt1,Golim4
Dsc2,Cd44
Elf3,Pdlim5
Myof,Aqp3
Alcam,Tnfrsf12a
Cmpk1,Adamts1
Cyp2f2,Krt13
Ppp2ca,Dsp
Emp1,Kcnq5
Tagln2,Krt15
Hspb1,Pitpnc1
Fmo3,Phlda1
Slurp1,S100a10
Lurap1l,Flnb
Anxa5,Iffo2
S100a11,Tacstd2
Ablim1,Cdc42ep3
Rbm47,Anxa1
Taok3,Krt7
Cyba,S100a6
Txn1,Gcnt2
Clip1,Igfbp3
Krt18,Serpinb5
Evpl,Krt6a
Epcam,Krt4
Mall,Crip1
Krt80,Ifi202b
Paqr8,Sfn
Gcnt2,Krt14
Trim16,Upk3bl
Rnh1,Lgals3
Spint1,Cav1
Tspan2,Krt5
Sat1,Krt17
Actb,
Myo5b,
Tcim,
Actr2,
Ces1h,
Plaur,
Acadm,
Adgre5,
Cdc42ep5,
Gpd2,
Stk39,
Thsd4,
Spint2,
Pdxk,
Adam28,
Por,
Rhpn2,
Usp25,
Cda,
Klf12,
Arpc3,
Blnk,
Ptprj,
Cbr2,
Plpp2,
Fgfbp1,
Prr13,
Oit1,
Cmas,
Ppp1r2,
Mcu,
Tspan5,
Mmp15,
Usp6nl,
Sptssb,
Erbb3,
Cd9,
Slk,
Eif4g2,
Zyx,
Rfk,
Mab21l4,
Sh3d19,
Ptgr1,
Pdlim5,
Adh6a,
Mgst1,
Ahr,
Tst,
Pfn1,
Fbxw10,
Acadl,
Aldh3a1,
Cd24a,
Lgalsl,
Clint1,
Lrrfip1,
AW112010,
Kctd12,
2300002M23Rik,
Rac1,
Mal2,
Hspa1b,
Pkm,
Pttg1ip,
Samhd1,
Jund,
S100a13,
Mfge8,
Pdlim2,
Myo6,
Car5b,
Dsg3,
Mtus1,
Hspa1a,
Sri,
Epha2,
Shisa5,
Map2k3,
Ifit1,
Ywhah,
Cd2ap,
Ifit1bl1,
St14,
Capza2,
Ier5,
Unc13b,
Clca3a1,
Lmna,
Bace2,
Mxd1,
Fam129b,
Ostf1,
Cyb5a,
Atp6v0c,
Arpc2,
Golm1,
Afdn,
Ctsd,
Jup,
Dock11,
Ppp3ca,
Rhoa,
Slc6a14,
Capn5,
Cav2,
1810037I17Rik,
Ccnd2,
Actg1,
Nudt19,
Ovol1,
Kirrel3,
Hmgcr,
Tmem43,
Barx2,
Cradd,
Ahnak2,
Gpr137b,
Pdcd10,
Lypd2,
Anxa11,
S100a16,
Capns1,
Serpinb5,
Akr1b3,
Crb3,
Avpi1,
Cxcl16,
H3f3a,
Pir,
Myl6,
Morrbid,
Arf1,
Tmsb4x,
Lcor,
Chp1,
Tmprss11d,
Cstb,
Acer3,
Arpc5,
Tnfrsf21,
Crybg2,
Gltp,
Bspry,
Osbpl3,
Dsp,
Micu1,
Galnt7,
Baiap2,
Ctnnb1,
Hist1h2bc,
Ptpn13,
Sh3glb1,
Ctsc,
Galnt3,
H2-D1,
Clic4,
Lgals7,
Ocln,
Ypel3,
Tmbim1,
Ldlr,
Pdcd6ip,
Atp6v0e,
Tmc4,